shipment_id,order_date,promised_delivery_date,delivery_date,warehouse,region,carrier,product_category,quantity,inventory_on_hand,shipping_cost,delivery_status
SHP100000,2024-04-12,2024-04-19,2024-04-25,Toronto WH,Alberta,DHL,Home Goods,72,2655,285.89,Late
SHP100001,2024-12-14,2024-12-17,2024-12-21,Montreal WH,British Columbia,UPS,Electronics,25,4012,112.14,Late
SHP100002,2024-09-27,2024-10-03,2024-10-10,Toronto WH,Alberta,UPS,Electronics,172,704,46.56,Late
SHP100003,2024-04-16,2024-04-21,2024-04-28,Montreal WH,Ontario,UPS,Home Goods,60,825,299.12,Late
SHP100004,2024-03-12,2024-03-15,2024-03-26,Calgary WH,Alberta,Canada Post,Medical Supplies,175,1004,95.0,Late
SHP100005,2024-07-07,2024-07-16,2024-07-12,Calgary WH,Quebec,UPS,Medical Supplies,40,3460,258.35,On Time
SHP100006,2024-01-21,2024-01-25,2024-01-24,Toronto WH,Alberta,FedEx,Electronics,7,376,66.35,On Time
SHP100007,2024-04-12,2024-04-21,2024-04-15,Montreal WH,British Columbia,UPS,Medical Supplies,174,972,224.78,On Time
SHP100008,2024-05-01,2024-05-10,2024-05-11,Toronto WH,British Columbia,UPS,Apparel,151,4213,166.85,Late
SHP100009,2024-08-02,2024-08-09,2024-08-08,Vancouver WH,Ontario,UPS,Home Goods,46,3076,294.65,On Time
SHP100010,2024-11-26,2024-12-03,2024-12-01,Toronto WH,British Columbia,DHL,Electronics,86,443,174.79,On Time
SHP100011,2024-03-28,2024-04-02,2024-04-08,Toronto WH,Alberta,Canada Post,Apparel,141,754,27.0,Late
SHP100012,2024-04-09,2024-04-16,2024-04-23,Calgary WH,Quebec,UPS,Medical Supplies,21,3604,189.09,Late
SHP100013,2024-12-25,2025-01-01,2024-12-27,Toronto WH,British Columbia,Canada Post,Apparel,1,4735,60.69,On Time
SHP100014,2024-05-31,2024-06-03,2024-06-08,Montreal WH,Ontario,FedEx,Medical Supplies,123,2171,243.59,Late
SHP100015,2024-05-10,2024-05-16,2024-05-14,Calgary WH,Alberta,FedEx,Electronics,147,2705,259.84,On Time
SHP100016,2024-05-29,2024-06-03,2024-06-05,Toronto WH,Ontario,UPS,Apparel,125,3465,154.99,Late
SHP100017,2024-11-04,2024-11-07,2024-11-10,Vancouver WH,British Columbia,FedEx,Home Goods,188,2711,239.3,Late
SHP100018,2024-09-14,2024-09-20,2024-09-20,Toronto WH,British Columbia,Canada Post,Electronics,33,2407,60.63,On Time
SHP100019,2024-12-09,2024-12-18,2024-12-21,Toronto WH,Ontario,DHL,Apparel,4,622,157.78,Late
SHP100020,2024-10-20,2024-10-23,2024-10-26,Toronto WH,Alberta,UPS,Apparel,3,1723,130.3,Late
SHP100021,2024-07-10,2024-07-18,2024-07-12,Calgary WH,British Columbia,FedEx,Medical Supplies,91,3322,191.17,On Time
SHP100022,2024-10-03,2024-10-06,2024-10-05,Montreal WH,Quebec,Canada Post,Electronics,52,1919,32.45,On Time
SHP100023,2024-06-09,2024-06-16,2024-06-13,Vancouver WH,British Columbia,Canada Post,Electronics,28,918,230.59,On Time
SHP100024,2024-11-09,2024-11-15,2024-11-22,Toronto WH,Alberta,FedEx,Electronics,70,4215,42.16,Late
SHP100025,2024-01-22,2024-01-27,2024-02-02,Montreal WH,British Columbia,Canada Post,Electronics,198,581,203.81,Late
SHP100026,2024-09-09,2024-09-14,2024-09-14,Montreal WH,Ontario,Canada Post,Medical Supplies,183,3881,25.17,On Time
SHP100027,2024-08-23,2024-08-29,2024-08-29,Calgary WH,British Columbia,UPS,Home Goods,57,1686,252.93,On Time
SHP100028,2024-12-10,2024-12-17,2024-12-13,Vancouver WH,British Columbia,Canada Post,Electronics,108,3909,68.92,On Time
SHP100029,2024-02-18,2024-02-22,2024-02-27,Calgary WH,Alberta,FedEx,Medical Supplies,144,1999,164.34,Late
SHP100030,2024-02-28,2024-03-02,2024-03-11,Montreal WH,Ontario,UPS,Home Goods,24,2711,93.22,Late
SHP100031,2024-06-18,2024-06-25,2024-06-30,Montreal WH,Alberta,FedEx,Home Goods,197,400,222.34,Late
SHP100032,2024-07-06,2024-07-14,2024-07-09,Montreal WH,British Columbia,DHL,Medical Supplies,169,3648,109.98,On Time
SHP100033,2024-09-27,2024-10-06,2024-10-07,Calgary WH,Quebec,FedEx,Electronics,77,2628,222.89,Late
SHP100034,2024-07-08,2024-07-14,2024-07-11,Vancouver WH,British Columbia,FedEx,Home Goods,175,1656,99.76,On Time
SHP100035,2024-06-23,2024-06-26,2024-07-07,Toronto WH,Alberta,UPS,Electronics,76,620,230.69,Late
SHP100036,2024-02-20,2024-02-25,2024-03-01,Calgary WH,Quebec,Canada Post,Electronics,69,246,28.57,Late
SHP100037,2024-12-29,2025-01-07,2025-01-06,Montreal WH,Alberta,FedEx,Apparel,101,3339,99.33,On Time
SHP100038,2024-02-24,2024-02-28,2024-03-04,Calgary WH,Alberta,UPS,Electronics,159,3010,159.62,Late
SHP100039,2024-08-31,2024-09-08,2024-09-12,Montreal WH,Ontario,DHL,Apparel,92,4719,32.62,Late
SHP100040,2024-11-15,2024-11-20,2024-11-18,Toronto WH,Quebec,UPS,Home Goods,92,2368,72.09,On Time
SHP100041,2024-05-10,2024-05-16,2024-05-18,Toronto WH,British Columbia,UPS,Medical Supplies,30,3994,281.67,Late
SHP100042,2024-11-02,2024-11-05,2024-11-15,Vancouver WH,Alberta,Canada Post,Apparel,18,1839,293.51,Late
SHP100043,2024-05-14,2024-05-20,2024-05-21,Montreal WH,British Columbia,FedEx,Medical Supplies,44,2903,227.13,Late
SHP100044,2024-01-21,2024-01-30,2024-01-26,Vancouver WH,Ontario,DHL,Home Goods,155,4395,90.62,On Time
SHP100045,2024-11-24,2024-11-27,2024-12-02,Vancouver WH,Ontario,UPS,Electronics,99,4498,92.94,Late
SHP100046,2024-06-15,2024-06-22,2024-06-29,Toronto WH,Quebec,FedEx,Home Goods,154,3691,200.82,Late
SHP100047,2024-09-30,2024-10-04,2024-10-05,Calgary WH,Ontario,FedEx,Medical Supplies,121,3841,52.93,Late
SHP100048,2024-03-29,2024-04-05,2024-04-01,Calgary WH,Ontario,UPS,Home Goods,115,4348,285.53,On Time
SHP100049,2024-11-11,2024-11-18,2024-11-22,Vancouver WH,British Columbia,FedEx,Electronics,60,1392,82.95,Late
SHP100050,2024-01-14,2024-01-20,2024-01-27,Toronto WH,Ontario,UPS,Home Goods,146,3750,299.9,Late
SHP100051,2024-08-29,2024-09-07,2024-09-06,Montreal WH,Ontario,UPS,Electronics,56,4255,158.81,On Time
SHP100052,2024-09-21,2024-09-25,2024-09-30,Calgary WH,Alberta,UPS,Apparel,31,3008,236.0,Late
SHP100053,2024-12-11,2024-12-14,2024-12-14,Vancouver WH,Ontario,DHL,Medical Supplies,101,4300,20.61,On Time
